rqvi_candidate,rqvi_seed,rqvi_gp,informative
seed0:GP220,0,GP220,True
seed0:GP221,0,GP221,True
seed0:GP222,0,GP222,True
seed0:GP223,0,GP223,True
seed0:GP224,0,GP224,True
seed0:GP225,0,GP225,True
seed0:GP226,0,GP226,True
seed0:GP227,0,GP227,True
seed0:GP228,0,GP228,True
seed0:GP229,0,GP229,True
seed0:GP230,0,GP230,True
seed0:GP231,0,GP231,True
seed0:GP232,0,GP232,True
seed0:GP233,0,GP233,True
seed0:GP234,0,GP234,True
seed0:GP235,0,GP235,True
seed0:GP236,0,GP236,True
seed0:GP237,0,GP237,True
seed0:GP238,0,GP238,True
seed0:GP239,0,GP239,True
seed0:GP240,0,GP240,True
seed0:GP241,0,GP241,True
seed0:GP242,0,GP242,True
seed0:GP243,0,GP243,True
seed0:GP244,0,GP244,True
seed0:GP245,0,GP245,True
seed0:GP246,0,GP246,True
seed0:GP247,0,GP247,True
seed0:GP248,0,GP248,True
seed0:GP249,0,GP249,True
seed0:GP250,0,GP250,True
seed0:GP251,0,GP251,True
seed0:GP252,0,GP252,True
seed0:GP253,0,GP253,True
seed0:GP254,0,GP254,True
seed0:GP255,0,GP255,True
seed1:GP0,1,GP0,True
seed1:GP1,1,GP1,True
seed1:GP2,1,GP2,True
seed1:GP3,1,GP3,True
seed1:GP4,1,GP4,True
seed1:GP5,1,GP5,True
seed1:GP6,1,GP6,True
seed1:GP7,1,GP7,True
seed1:GP8,1,GP8,True
seed1:GP9,1,GP9,True
seed1:GP10,1,GP10,True
seed1:GP11,1,GP11,True
seed1:GP12,1,GP12,True
seed1:GP13,1,GP13,True
seed1:GP14,1,GP14,True
seed1:GP15,1,GP15,True
seed1:GP16,1,GP16,True
seed1:GP17,1,GP17,True
seed1:GP18,1,GP18,True
seed1:GP19,1,GP19,True
seed1:GP20,1,GP20,True
seed1:GP21,1,GP21,True
seed1:GP22,1,GP22,True
seed1:GP23,1,GP23,True
seed1:GP24,1,GP24,True
seed1:GP25,1,GP25,True
seed1:GP26,1,GP26,True
seed1:GP27,1,GP27,True
seed1:GP28,1,GP28,True
seed1:GP29,1,GP29,True
seed1:GP30,1,GP30,True
seed1:GP31,1,GP31,True
seed1:GP32,1,GP32,True
seed1:GP33,1,GP33,True
seed1:GP34,1,GP34,True
seed1:GP35,1,GP35,True
seed1:GP36,1,GP36,True
seed1:GP37,1,GP37,True
seed1:GP38,1,GP38,True
seed1:GP39,1,GP39,True
seed1:GP40,1,GP40,True
seed1:GP41,1,GP41,True
seed1:GP42,1,GP42,True
seed1:GP43,1,GP43,True
seed1:GP44,1,GP44,True
seed1:GP45,1,GP45,True
seed1:GP46,1,GP46,True
seed1:GP47,1,GP47,True
seed1:GP48,1,GP48,True
seed1:GP49,1,GP49,True
seed1:GP50,1,GP50,True
seed1:GP51,1,GP51,True
seed1:GP52,1,GP52,True
seed1:GP53,1,GP53,True
seed1:GP54,1,GP54,True
seed1:GP55,1,GP55,True
seed1:GP56,1,GP56,True
seed1:GP57,1,GP57,True
seed1:GP58,1,GP58,True
seed1:GP59,1,GP59,True
seed1:GP60,1,GP60,True
seed1:GP61,1,GP61,True
seed1:GP62,1,GP62,True
seed1:GP63,1,GP63,True
seed1:GP64,1,GP64,True
seed1:GP65,1,GP65,True
seed1:GP66,1,GP66,True
seed1:GP67,1,GP67,True
seed1:GP68,1,GP68,True
seed1:GP69,1,GP69,True
seed1:GP70,1,GP70,True
seed1:GP71,1,GP71,True
seed1:GP72,1,GP72,True
seed1:GP73,1,GP73,True
seed1:GP74,1,GP74,True
seed1:GP75,1,GP75,True
seed1:GP76,1,GP76,True
seed1:GP77,1,GP77,True
seed1:GP78,1,GP78,True
seed1:GP79,1,GP79,True
seed1:GP80,1,GP80,True
seed1:GP81,1,GP81,True
seed1:GP82,1,GP82,True
seed1:GP83,1,GP83,True
seed1:GP84,1,GP84,True
seed1:GP85,1,GP85,True
seed1:GP86,1,GP86,True
seed1:GP87,1,GP87,True
seed1:GP88,1,GP88,True
seed1:GP89,1,GP89,True
seed1:GP90,1,GP90,True
seed1:GP91,1,GP91,True
seed1:GP92,1,GP92,True
seed1:GP93,1,GP93,True
seed1:GP94,1,GP94,True
seed1:GP95,1,GP95,True
seed1:GP96,1,GP96,True
seed1:GP97,1,GP97,True
seed1:GP98,1,GP98,True
seed1:GP99,1,GP99,True
seed1:GP100,1,GP100,True
seed1:GP101,1,GP101,True
seed1:GP102,1,GP102,True
seed1:GP103,1,GP103,True
seed1:GP104,1,GP104,True
seed1:GP105,1,GP105,True
seed1:GP106,1,GP106,True
seed1:GP107,1,GP107,True
seed1:GP108,1,GP108,True
seed1:GP109,1,GP109,True
seed1:GP110,1,GP110,True
seed1:GP111,1,GP111,True
seed1:GP112,1,GP112,True
seed1:GP113,1,GP113,True
seed1:GP114,1,GP114,True
seed1:GP115,1,GP115,True
